PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,FROM_YEAR,TO_YEAR
Achiuwa,Precious,Miami,Heat,MIA,F,"6'8""",225 lbs,Memphis,Nigeria,2020.0,1.0,20.0,1.0,5.8,3.9,0.5,2020,2020
Adams,Jaylen,Portland,Trail Blazers,POR,G,"6'0""",225 lbs,St. Bonaventure,USA,,,,,0.3,0.4,0.3,2018,2020
Adams,Steven,New Orleans,Pelicans,NOP,C,"6'11""",265 lbs,Pittsburgh,New Zealand,2013.0,1.0,12.0,1.0,8.2,9.2,2.0,2013,2020
Adebayo,Bam,Miami,Heat,MIA,C-F,"6'9""",255 lbs,Kentucky,USA,2017.0,1.0,14.0,1.0,19.2,9.5,5.4,2017,2020
Aldridge,LaMarcus,San Antonio,Spurs,SAS,C-F,"6'11""",250 lbs,Texas,USA,2006.0,1.0,2.0,1.0,13.7,4.5,1.7,2006,2020
Alexander,Ty-Shon,Phoenix,Suns,PHX,G,"6'3""",195 lbs,Creighton,USA,,,,1.0,0.0,0.3,0.3,2020,2020
Alexander-Walker,Nickeil,New Orleans,Pelicans,NOP,G,"6'6""",205 lbs,Virginia Tech,Canada,2019.0,1.0,17.0,1.0,8.5,2.6,2.0,2019,2020
Allen,Grayson,Memphis,Grizzlies,MEM,G,"6'4""",198 lbs,Duke,USA,2018.0,1.0,21.0,1.0,9.3,2.8,2.2,2018,2020
Allen,Jarrett,Cleveland,Cavaliers,CLE,C,"6'11""",243 lbs,Texas,USA,2017.0,1.0,22.0,1.0,13.2,9.8,1.7,2017,2020
Aminu,Al-Farouq,Orlando,Magic,ORL,F,"6'8""",220 lbs,Wake Forest,USA,2010.0,1.0,8.0,1.0,4.6,4.4,1.5,2010,2020
Anderson,Kyle,Memphis,Grizzlies,MEM,F-G,"6'9""",230 lbs,UCLA,USA,2014.0,1.0,30.0,1.0,13.0,6.0,3.4,2014,2020
Antetokounmpo,Giannis,Milwaukee,Bucks,MIL,F,"6'11""",242 lbs,Filathlitikos,Greece,2013.0,1.0,15.0,1.0,29.0,11.6,6.1,2013,2020
Antetokounmpo,Kostas,Los Angeles,Lakers,LAL,F,"6'10""",200 lbs,Dayton,Greece,2018.0,2.0,60.0,1.0,1.0,2.7,0.0,2018,2020
Antetokounmpo,Thanasis,Milwaukee,Bucks,MIL,F,"6'6""",219 lbs,Panathinaikos,Greece,2014.0,2.0,51.0,1.0,2.3,2.0,0.6,2015,2020
Anthony,Carmelo,Portland,Trail Blazers,POR,F,"6'7""",238 lbs,Syracuse,USA,2003.0,1.0,3.0,1.0,14.1,3.3,1.6,2003,2020
Anthony,Cole,Orlando,Magic,ORL,G,"6'2""",185 lbs,North Carolina,USA,2020.0,1.0,15.0,1.0,11.0,4.4,3.8,2020,2020
Anunoby,OG,Toronto,Raptors,TOR,F,"6'7""",232 lbs,Indiana,United Kingdom,2017.0,1.0,23.0,1.0,13.8,5.7,1.7,2017,2020
Arcidiacono,Ryan,Chicago,Bulls,CHI,G,"6'3""",195 lbs,Villanova,USA,,,,1.0,3.2,1.8,1.2,2017,2020
Augustin,D.J.,Milwaukee,Bucks,MIL,G,"5'11""",183 lbs,Texas,USA,2008.0,1.0,9.0,1.0,6.2,1.4,3.0,2008,2020
Avdija,Deni,Washington,Wizards,WAS,F,"6'9""",210 lbs,Maccabi Tel Aviv,Israel,2020.0,1.0,9.0,1.0,6.2,4.7,1.3,2020,2020
Ayton,Deandre,Phoenix,Suns,PHX,C,"6'11""",250 lbs,Arizona,Bahamas,2018.0,1.0,1.0,1.0,14.4,11.2,1.6,2018,2020
